Patch1,Patch2,Patch3,Patch4,Patch5,Patch6,Patch7,Patch8,Patch9,Patch10,Patch11,Patch12,Patch13,Patch14,Patch15,Patch16,Patch17,Patch18,Patch19,Patch20,Patch21,Patch22,Patch23,Patch24
4.207692000000000121e+01,8.890870999999999924e+01,8.778072000000000230e+01,4.651666999999999774e+01,9.531139000000000294e+01,8.861311999999999500e+01,3.714878000000000213e+01,8.619576999999999600e+01,7.492100999999999544e+01,7.295552999999999599e+01,4.832075999999999993e+01,5.073131999999999664e+01,5.007305000000000206e+01,3.594689999999999941e+01,3.823599000000000103e+01,4.379267999999999716e+01,8.396528000000000702e+01,6.960044999999999504e+01,9.173886000000000251e+01,8.695171999999999457e+01,8.028574000000000410e+01,7.075391000000000474e+01,5.063448999999999955e+01,2.633183999999999969e+01
4.315406999999999726e+01,8.643550000000000466e+01,9.345208999999999833e+01,4.517226999999999748e+01,9.999321000000000481e+01,8.317512999999999579e+01,3.352494000000000085e+01,9.046850999999999487e+01,7.604305999999999699e+01,7.609060999999999808e+01,4.927745000000000175e+01,4.889538000000000295e+01,5.029972000000000065e+01,3.857681000000000182e+01,3.653569000000000244e+01,3.670210000000000150e+01,8.574605999999999995e+01,7.228515000000000157e+01,9.724567000000000405e+01,9.622679999999999723e+01,8.333135000000000048e+01,7.247194000000000358e+01,5.120736000000000132e+01,2.615937999999999874e+01
4.293878999999999735e+01,9.109287000000000489e+01,9.835369000000000028e+01,4.648304000000000258e+01,1.043059999999999974e+02,9.160980000000000700e+01,3.464838999999999913e+01,9.433259999999999934e+01,7.778763999999999612e+01,7.637163999999999930e+01,4.929455999999999705e+01,5.240975000000000250e+01,5.242168999999999812e+01,3.744541000000000253e+01,3.902517999999999887e+01,3.564896999999999849e+01,9.276648000000000138e+01,7.489934999999999832e+01,9.667667000000000144e+01,1.041610000000000014e+02,8.887505000000000166e+01,7.539068000000000325e+01,5.273474999999999824e+01,2.656569999999999965e+01
4.041933999999999827e+01,9.068777000000000044e+01,9.403686999999999330e+01,4.461507000000000289e+01,1.001076999999999941e+02,8.724660000000000082e+01,3.119371999999999900e+01,9.292570000000000618e+01,7.186198000000000263e+01,7.444792999999999950e+01,4.239119000000000170e+01,4.887713000000000108e+01,4.919471999999999667e+01,3.598639000000000010e+01,3.390140000000000242e+01,3.759149000000000029e+01,8.783338999999999430e+01,7.262357000000000085e+01,1.059538000000000011e+02,9.259797000000000367e+01,8.733710999999999558e+01,7.474445000000000050e+01,4.979867999999999739e+01,2.428797000000000139e+01
3.712722000000000122e+01,8.428269000000000233e+01,8.914571999999999719e+01,3.937941000000000003e+01,9.647275000000000489e+01,8.452273999999999887e+01,2.855266999999999911e+01,8.765743999999999403e+01,6.709262999999999977e+01,7.010872999999999422e+01,4.374117999999999995e+01,4.179751999999999867e+01,4.648687000000000324e+01,3.273440000000000083e+01,3.297444000000000131e+01,3.601241999999999877e+01,8.677492999999999768e+01,6.865574999999999761e+01,9.749505999999999517e+01,9.047162000000000148e+01,8.169584999999999297e+01,6.886048999999999864e+01,4.653770000000000095e+01,2.216040999999999883e+01
3.612366000000000099e+01,8.379300999999999533e+01,9.029569999999999652e+01,3.803159000000000134e+01,9.694086000000000070e+01,8.497848999999999364e+01,2.918010999999999910e+01,8.768278999999999712e+01,6.892875999999999692e+01,6.961020999999999503e+01,4.496909000000000134e+01,4.374058999999999742e+01,4.700269000000000119e+01,3.296976000000000084e+01,3.035886999999999958e+01,3.487096999999999980e+01,8.667875999999999692e+01,6.717472999999999672e+01,9.623924999999999841e+01,9.344355000000000189e+01,8.414919000000000437e+01,6.913172000000000139e+01,4.542875999999999692e+01,2.139784999999999826e+01
3.434006000000000114e+01,8.255521000000000242e+01,9.083568999999999960e+01,3.586383000000000010e+01,9.597820000000000107e+01,8.363260999999999967e+01,2.693066999999999922e+01,8.801099999999999568e+01,6.787014999999999532e+01,6.896029000000000053e+01,4.153166999999999831e+01,4.179975000000000307e+01,4.532614999999999839e+01,3.080855999999999995e+01,2.895111999999999952e+01,3.355492999999999881e+01,8.606759999999999877e+01,6.714168999999999699e+01,9.513258000000000436e+01,9.372915000000000418e+01,8.630192999999999870e+01,6.742059000000000424e+01,4.434425999999999846e+01,2.037423000000000073e+01
3.335996999999999701e+01,8.390721000000000629e+01,9.129981999999999687e+01,3.473776000000000153e+01,9.666328000000000031e+01,8.537216999999999700e+01,2.514771000000000001e+01,8.835052000000000305e+01,6.594750000000000512e+01,6.858442999999999756e+01,3.839531999999999812e+01,3.985302000000000078e+01,4.538112999999999886e+01,2.986767000000000039e+01,2.716414999999999935e+01,3.158869999999999933e+01,8.826819999999999311e+01,6.825149000000000399e+01,9.668264999999999532e+01,9.550342000000000553e+01,8.611070999999999742e+01,6.780835999999999331e+01,4.297545000000000215e+01,1.959175000000000111e+01
3.082304999999999851e+01,8.152053999999999689e+01,8.893531000000000120e+01,3.271211999999999875e+01,9.499491999999999337e+01,8.340850000000000364e+01,2.387418999999999869e+01,8.581597999999999615e+01,6.470243999999999573e+01,6.593934000000000140e+01,3.780342000000000269e+01,3.792721999999999838e+01,4.279413999999999874e+01,2.708581999999999823e+01,2.478776999999999830e+01,2.841556999999999888e+01,8.491621000000000663e+01,6.575806000000000040e+01,9.567803000000000679e+01,9.424548000000000059e+01,8.405182000000000642e+01,6.646438999999999453e+01,4.066409999999999769e+01,1.828049999999999997e+01
2.883487999999999829e+01,7.953444000000000358e+01,8.732486000000000104e+01,3.098170999999999964e+01,9.388648999999999489e+01,7.993795000000000073e+01,2.241468000000000060e+01,8.478414999999999679e+01,6.221992000000000189e+01,6.342336000000000240e+01,3.564896000000000242e+01,3.423058999999999941e+01,4.172597999999999985e+01,2.674635999999999925e+01,2.316797000000000040e+01,2.596620000000000061e+01,8.326539999999999964e+01,6.402356000000000336e+01,9.698684000000000083e+01,9.672324000000000410e+01,8.244419000000000608e+01,6.448485999999999763e+01,3.899770999999999788e+01,1.683952999999999989e+01
